,Sample,Species Richness,EPT Richness,Biotic Index,Species Dominance,Percent Model Affinity,BAP
02-DODG-0.3 (Upstream),Rep 1,22,10,4.82,10,89,7
,Rep 2,25,9,5.21,9,73,6.53
,Rep 3,27,9,5.01,19,77,6.65
Mean,,24.7,9,5.11,12.7,75,6.59
02-DODG-0.1 (Downstream),Rep 1,20,9,4.22,14,77,7.12
,Rep 2,21,8,4.35,23,60,6.51
,Rep 3,27,10,4.87,17,72,7.11
Mean,,22.7,9,4.48,18,70,6.91
Net change (Difference of Upstream from Downstream),,-2,0,-0.63,5.33,-5,0.32
Criteria for Impairment ,,-8,-4,1.5,15,-20,-1.5
Exceedance (Y or N),,N,N,N,N,N,N
