CHEM_PARAMETER_PCODE,CHEM_PARAMETER_NAME,CHEM_PARAMETER_UNIT,CHEM_PARAMETER_UNIT_NOSP,CHEM_PARAMETER_FRACTION,CHEM_PARAMETER_SOURCE,CHEM_PARAMETER_NOTES,stayCALM_parameter,stayCALM_units,stayCALM_fraction
1,"1,2-DICHLOROETHANE-D4",%,percent,TOTAL,LAB,,,percent,total
2,"1,2-DICHLOROETHANE-D4",µg/L,ug/L,TOTAL,LAB,,,ug/l,total
3,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),%,percent,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,percent,total
4,"2,3-DIBROMOPROPIONIC ACID",%,percent,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,percent,total
5,"ACIDITY, HYDROGEN ION (H+)",NA,NA,NA,LAB,Different from pH.,,na,na
6,"ALKALINITY, TOTAL (AS CACO3)",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
7,ALUMINUM,µg/L,ug/L,DISSOLVED,LAB,,aluminum,ug/l,dissolved
8,ALUMINUM,µg/L,ug/L,TOTAL,LAB,,aluminum,ug/l,total
9,ANATOXIN-A,µg/L,ug/L,NA,LAB,,,ug/l,na
10,APPARENT COLOR,color units,color units,TOTAL,LAB,,,color units,total
11,ARSENIC,µg/L,ug/L,DISSOLVED,LAB,,,ug/l,dissolved
12,ARSENIC,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
13,BENZENE,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
14,BMAA (BETA-METHYL-AMINO-(L)-ALANINE),µg/L,ug/L,NA,LAB,,,ug/l,na
15,BORON,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
16,BROMODICHLOROMETHANE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
17,BROMOFORM,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
18,CADMIUM,µg/L,ug/L,DISSOLVED,LAB,,cadmium,ug/l,dissolved
19,CADMIUM,µg/L,ug/L,TOTAL,LAB,,cadmium,ug/l,total
20,CALCIUM,mg/L,mg/L,TOTAL,LAB,,calcium,mg/l,total
21,CALCIUM,µg/L,ug/L,TOTAL,LAB,,calcium,ug/l,total
22,"CARBON, DISSOLVED ORGANIC (DOC)",mg/L,mg/L,DISSOLVED,LAB,,,mg/l,dissolved
23,"CARBON, TOTAL",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
24,"CARBON, TOTAL (DISSOLVED FRACTION)",mg/L,mg/L,DISSOLVED,LAB,Created for TOTAL CARBON (DISSOLVED) in 2015 samples with both T and D components present.,,mg/l,dissolved
25,"CARBON, TOTAL ORGANIC",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
26,"CARBON, TOTAL ORGANIC (DISSOLVED FRACTION)",mg/L,mg/L,DISSOLVED,LAB,"Results in DB have different analytical method from those of CARBON, DISSOLVED ORGANIC (DOC).",,mg/l,dissolved
27,CHLORIDE,mg/L,mg/L,TOTAL,LAB,,chloride,mg/l,total
28,CHLORODIBROMOMETHANE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
29,CHLOROFORM,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
30,CHLOROMETHANE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
31,CHLOROPHYLL A,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
32,CHLOROPHYLL A (PROBE),RFU,RFU,NA,IN-SITU,Measurements collected with YSI Total Algae sensor.,,rfu,na
33,CHLOROPHYLL A (PROBE),µg/L,ug/L,NA,IN-SITU,Measurements collected with YSI Total Algae sensor.,,ug/l,na
34,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",µg/L,ug/L,NA,LAB,,,ug/l,na
35,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",µg/L,ug/L,NA,LAB,,,ug/l,na
36,"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",µg/L,ug/L,NA,LAB,,,ug/l,na
37,"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",µg/L,ug/L,NA,LAB,,,ug/l,na
38,"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",µg/L,ug/L,NA,LAB,,,ug/l,na
39,"CHLOROPHYLL A (PROBE) CONCENTRATION, TOTAL",µg/L,ug/L,NA,LAB,,,ug/l,na
40,COLIFORM,cfu/100mL,cfu/100mL,TOTAL,LAB,Confirm in DB if records are TOTAL or FECAL.,total_coliform,cfu/100ml,total
41,"COLIFORM, FECAL",cfu/100mL,cfu/100mL,NA,LAB,,fecal_coliform,cfu/100ml,na
42,"COLOR, UNKNOWN",color units,color units,TOTAL,LAB,,,color units,total
43,CONDUCTIVITY,µmhos/cm,umhos/cm,NA,IN-SITU,,,umhos/cm,na
44,CONDUCTIVITY,µmhos/cm,umhos/cm,TOTAL,LAB,,,umhos/cm,total
45,CONDUCTIVITY,µmhos/cm,umhos/cm,NA,UNDETERMINED,Records in DB with undetermined source.,,umhos/cm,na
46,CONDUCTIVITY,uS/cm,uS/cm,NA,IN-SITU,,,us/cm,na
47,CONDUCTIVITY,uS/cm,uS/cm,TOTAL,LAB,,,us/cm,total
48,CONDUCTIVITY,uS/cm,uS/cm,NA,UNDETERMINED,Records in DB with undetermined source.,,us/cm,na
49,COPPER,µg/L,ug/L,DISSOLVED,LAB,,,ug/l,dissolved
50,COPPER,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
51,CYLINDROSPERMOPSIN,µg/L,ug/L,NA,LAB,,,ug/l,na
52,DEPTH,m,m,NA,IN-SITU,,,m,na
53,"DEPTH, BOTTOM",m,m,NA,IN-SITU,,,m,na
54,"DEPTH, SECCHI DISK DEPTH",m,m,NA,IN-SITU,,,m,na
55,DIBROMOACETIC ACID,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
56,DIBROMOCHLOROMETHANE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
57,DIBROMODIFLUOROMETHANE,%,percent,TOTAL,LAB,,,percent,total
58,DIBROMOFLUOROMETHANE,%,percent,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,percent,total
59,DICHLOROACETIC ACID,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
60,DIHYDRO-ATX-A,µg/L,ug/L,NA,LAB,,,ug/l,na
61,DISSOLVED OXYGEN,mg/L,mg/L,NA,IN-SITU,,dissolved_oxygen,mg/l,dissolved
62,DISSOLVED OXYGEN SATURATION,%,percent,NA,IN-SITU,,,percent,na
63,DOMINANT ALGAL SPECIES,NA,NA,NA,LAB,,,na,na
64,ETHYLBENZENE,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
65,FLUORIDE,mg/L,mg/L,TOTAL,LAB,,fluoride,mg/l,total
66,HARDNESS (AS CACO3),mg/L,mg/L,TOTAL,LAB,,hardness,mg/l,total
67,IRON,µg/L,ug/L,TOTAL,LAB,,iron,ug/l,total
68,LEAD,µg/L,ug/L,DISSOLVED,LAB,,lead,ug/l,dissolved
69,LEAD,µg/L,ug/L,TOTAL,LAB,,lead,ug/l,total
70,MAGNESIUM,mg/L,mg/L,TOTAL,LAB,,magnesium,mg/l,total
71,MAGNESIUM,µg/L,ug/L,TOTAL,LAB,,magnesium,ug/l,total
72,MANGANESE,µg/L,ug/L,TOTAL,LAB,,manganese,ug/l,total
73,MERCURY,ng/L,ng/L,TOTAL,LAB,,mercury,ng/l,total
