CHEM_PARAMETER_NAME,CHEM_PARAMETER_FRACTION,Analytes,Analytical Lab,Standard Method,Precision,Accuracy,Cal-initial,cal-ongoing,cal-blanks,Method Detection Limit,Reporting Limit
TEMPERATURE,,Temperature,in-situ,2550 B,± 1oC,± 1.5oC,Factory Set,~,~,0oC,~
DISSOLVED OXYGEN,,Dissolved Oxygen,in-situ,4500-O G,± 1%,± 2%,Daily,~,~,0%,~
PH,,pH,in-situ,4500-H+B,± .05 SU,± .2 SU,Weekly,~,~,0 SU,~
SALINITY,,Salinity,in-situ,Calculated,0.001 ppt,± 1%,N/A,~,~,0%,~
SPECIFIC CONDUCTANCE,,Specific Conductance,in-situ,2510 B,± 1µs/cm,± 1%,Weekly,~,~,0%,~
"NITROGEN, AMMONIA (AS N)",TOTAL,Ammonia,ALS,D6919-09,^,± 25%,As needed,Every 10,Every 10,0.0025 mg/L,0.01 mg/L
"NITROGEN, KJELDAHL, TOTAL",TOTAL,Total Kjeldahl Nitrogen,ALS,EPA 351.2,^,± 25%,Daily,Every 10,Every 10,0.08 mg/L,0.1 mg/L
"NITROGEN, NITRATE-NITRITE",TOTAL,Nitrate-nitrite,ALS,EPA 351.2,^,± 25%,Daily,Every 10,Every 10,0.007 mg/L,0.01 mg/L
"NITROGEN, NITRITE",TOTAL,"Nitrogen, Nitrite",ALS,EPA 351.2,^,± 25%,Daily,Every 10,Every 10,0.007 mg/L,0.01 mg/L
"NITROGEN, NITRATE (AS N)",TOTAL,"Nitrogen, Nitrate",ALS,EPA 353.2,^,± 25%,Daily,Every 10,Every 10,0.007 mg/L,0.01 mg/L
"NITROGEN, TOTAL",TOTAL,"Nitrogen, Total",ALS,Calculated,^,,,,,,
"PHOSPHORUS, TOTAL (AS P)",TOTAL,Total Phosphorus,ALS,EPA 365.1,^,± 25%,Daily,Every 10,Every 10,0.002 mg/L,0.003 mg/L
"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",DISSOLVED,Ortho-phosphate,ALS,EPA 365.1,^,± 25%,Daily,Every 10,Every 10,0.001 mg/L,0.005 mg/L
TOTAL DISSOLVED SOLIDS,DISSOLVED,Total Dissolved Solids,ALS,SM 2540C,^,± 25%,Daily,Every 20,Every 20,4.0 mg/L,10 mg/L
TURBIDITY,TOTAL,Turbidity,ALS,EPA 180.1,^,± 20%,Daily,Every 10,Every 10,0.06 NTU,0.1 NTU
"CARBON, DISSOLVED ORGANIC (DOC)",DISSOLVED,Dissolved Organic Carbon,ALS,5310C,^,± 25%,As needed,Ever 10,Every 10,0.4 mg/L,10 mg/L
"ALKALINITY, TOTAL (AS CACO3)",TOTAL,Alkalinity,ALS,SM 2320B,^,± 25%,Daily,Every 10,Every 10,1.0 mg/L,2.0 mg/L
HARDNESS (AS CACO3),TOTAL,Hardness,ALS,SM 2340B,^,± 25%,Daily,Every 10,Every 10,0.3 mg/L,6.62 mg/L
CALCIUM,TOTAL,Calcium,ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,0.1 mg/L,1.0 mg/L
MAGNESIUM,TOTAL,Magnesium,ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,0.04 mg/L,1.0 mg/L
POTASSIUM ,TOTAL,Potassium ,ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,0.06 mg/L,2.0 mg/L
SODIUM,TOTAL,Sodium,ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,0.03 mg/L,1.0 mg/L
