order,group,SH_SITE_ID
1,a,07-CATH-0.6
2,a,07-KASH-0.3
3,a,07-KEUK-0.1
4,a,07-REED-0.1
5,a,07-GLNK-0.2
6,a,07-BGST-0.1
7,a,07-THOL-1.8
8,b,07-OWLI-3.0
9,b,07-DUCH-0.3
10,b,07-DUCH-8.3
11,b,07-OWAL_T46-0.1
12,b,07-OWAL_T9-0.1
13,b,07-SCKR-0.1
14,b,07-VENE-1.5
15,c,07-GROU-1.5
16,c,07-SKAT_T2-0.1
17,c,07-SKAT_T5-0.1
18,c,07-SKAT_T89-0.2
19,c,07-BSWP-0.1
20,c,07-BSWP-6.3
21,c,07-MASH-0.1
22,b,07-OWAL_T16-0.4
23,b,07-OWAL_T2-0.1
24,b,07-OWAL_T5-0.2
25,b,07-OWLI-0.1
26,b,07-RAND-0.1
27,c,07-SKAT_T14-0.2
28,c,07-SKAT_T21-0.1
29,c,07-SKAT_T93a-0.5
30,b,07-VENE-0.4
31,b,O7-DUCH-0.3
32,b,O7-SCKR-0.1
