"SITE_HISTORY_ID","SITE_OLD_SITE_ID","SITE_NAME","SITE_PREVIOUS_NAME","SITE_BASIN","SITE_LOCATION","SITE_RIVMILE","SITE_HUC8","SITE_RIB_ID","SITE_STATION","SITE_DESC","SITE_LATITUDE","SITE_LONGITUDE","SITE_CITY_TOWN","SITE_COUNTY","SITE_FIPS_CDE","SITE_DEC_REGION","SITE_NHD_REACHCODE","SITE_NHD_M_VALUE","SITE_PWL_ID","SITE_WATERSHED_ID_NUM","SITE_WATER_QLTY_STANDARD","ECO_REGION","SITE_HABITAT_TYPE","SITE_SITE_CONDITION","SITE_DRAINAGE","SITE_NTL_ELEVATION_DATASET_10","order","group"
"13-DWAR-2.0",1784,"Dwaar Kill","DWAR01 (prior 2014)",13,"DWAR",2,2020007,"","01","10 m above bates rd. bridge.",41.62444,-74.19945,"Shawangunk","Ulster",111,3,NA,NA,"1306-0062","H-139-13-24","C",11,"","",NA,84.25201,"",""
"13-GUNK-0.4",411,"Shawangunk Kill","",13,"GUNK",0.4,2020007,"13063101","01","150 m below co. rt. 9 bridge.",41.68722,-74.17278,"Gardiner","Ulster",111,3,NA,NA,"1306-0045","H-139-13-19","B",11,"High_gradient;hard_bottom","Altered",NA,57.90443,"",""
"13-GUNK-37.7",NA,"Shawangunk Kill","",13,"GUNK",37.7,2020007,"","","at rte 24 bridge.",41.441342,-74.529772,"Mount Hope","Orange",71,3,2020007000085,NA,"1306-0047","H-139-13-19","B",8,"","",NA,229.914,"",""
"13-GUNK-40.3",NA,"Shawangunk Kill","",13,"GUNK",40.3,2020007,"","","at kohler rd.",41.421985,-74.56069,"Mount Hope","Orange",71,3,2020007000087,NA,"1306-0048","H-139-13-19","A",8,"","",NA,255.6097,"",""
"13-GUNK_T35-0.2",NA,"Unnamed Tributary To Shawangunk Kill","",13,"GUNK_T35",0.2,2020007,"","","at rte 24 bridge.",41.439605,-74.538899,"Mount Hope","Orange",71,3,2020007000947,NA,"1306-0047","H-139-13-19","B",8,"","",NA,237.0066,"",""
"13-LGUN-6.0",NA,"Little Shawangunk Kill","",13,"LGUN",6,2020007,"","","at mapes rd. bridge.",41.45587,-74.493797,"Mount Hope","Orange",71,3,2020007000270,NA,"1306-0059","H-139-13-19-28","B",8,"","",NA,217.0928,"",""
"13-MASO-0.2",4013,"Masonic Creek","",13,"MASO",0.2,2020007,"","02","at county route 50 (golf links rd.) overpass. upstream of confluence with wallkill river.",41.43765,-74.372867,"Wallkill","Orange",71,3,NA,NA,"1306-0072","H-139-13-51","B",11,"","",NA,115.5653,"",""
"13-MONH-0.4",582,"Monhagen Brook","MONH-04(prior to 2012)",13,"MONH",0.4,2020007,"","05","20 m above golf links rd. bridge. 4.1 mi. below stp.",41.42361,-74.38111,"Wawayanda","Orange",71,3,NA,NA,"1306-0074","H-139-13-52","C",11,"High_gradient;hard_bottom","Altered",NA,114.4915,"",""
"13-MONH-4.1",579,"Monhagen Brook","MONH-01(prior to 2012)",13,"MONH",4.1,2020007,"","02","200 m upstream of middletown stp discharge.",41.42833,-74.42389,"Middletown","Orange",71,3,NA,NA,"1306-0074","H-139-13-52","C",11,"High_gradient;hard_bottom","Altered",NA,139.5941,"",""
"13-PKIL-0.4",1820,"Platte Kill","PKIL 01 (pre-2014)",13,"PKIL",0.4,2020007,"","01","10 m above rte 208 bridge.",41.72528,-74.10472,"New Paltz","Ulster",111,3,NA,NA,"1306-0044","H-139-13-16","B(T)",11,"","",NA,51.75434,"",""
"13-POCH-1.8",NA,"Pochuck Creek","",13,"POCH",1.8,2020007,"","","transport ln off coutny route 1. access behind barn next to calf pen. follow pen om the left side and access river from behind.",41.300423,-74.47224,"Warwick","Orange",71,3,2020007000180,NA,"1306-0078","H-139-13-61","C",11,"","",NA,118.473,"",""
