order,group,SITE_HISTORY_ID,SITE_OLD_SITE_ID,SITE_NAME,SITE_PREVIOUS_NAME,SITE_BASIN,SITE_LOCATION,SITE_RIVMILE,SITE_HUC8,SITE_RIB_ID,SITE_STATION,SITE_DESC,SITE_LATITUDE,SITE_LONGITUDE,SITE_CITY_TOWN,SITE_COUNTY,SITE_FIPS_CDE,SITE_DEC_REGION,SITE_NHD_REACHCODE,SITE_NHD_M_VALUE,SITE_PWL_ID,SITE_WATERSHED_ID_NUM,SITE_WATER_QLTY_STANDARD,ECO_REGION,SITE_HABITAT_TYPE,SITE_SITE_CONDITION,SITE_DRAINAGE,SITE_NTL_ELEVATION_DATASET_10,order,group
1,a,07-CATH-0.6,NA,Catherine Creek,,7,CATH,0.6,4140201,,,south genesee st bridge.,42.328754,-76.84401,Montour,Schuyler,97,8,4.14E+12,NA,0705-0011,Ont  66-12-P369- 59 (upper),C(TS),7,,,NA,146.1281,,
2,a,07-KASH-0.3,NA,Kashong Creek,,7,KASH,0.3,4140201,,,at west lake rd.,42.764824,-76.97656,Geneva,Ontario,69,8,4.14E+12,NA,0705-0017,Ont  66-12-P369-128,C,7,,,NA,140.335,,
3,a,07-KEUK-0.1,NA,Keuka Outlet,,7,KEUK,0.1,4140201,,,0.5 m u.s. of mouth.,42.682,-76.949,Torrey,Yates,123,8,4.14E+12,NA,0705-0020,Ont  66-12-P369-115,C(T),7,,,NA,136.1256,,
4,a,07-REED-0.1,42675180,Reeder Creek,,7,REED,0.1,4140201,,0.1,300' west of intersection with 125.,42.7862,-76.927,Varick,Seneca,99,8,NA,NA,0705-0074,Ont  66-12-P369-  6,C(T),7,,,NA,136.7323,,
5,a,07-GLNK-0.2,NA,Glen Creek,,7,GLNK,0.2,4140201,,,junction of mcgee and shannon street.,42.378,-76.862,Dix,Schuyler,97,8,4.14E+12,NA,0705-0082,Ont  66-12-P369- 60,C(TS),7,,,NA,137.5238,,
6,a,07-BGST-0.1,NA,Big Stream,,7,BGST,0.1,4140201,,,at south glenora rd.,42.49,-76.9143,Starkey,Yates,123,8,4.14E+12,NA,0705-0087,Ont  66-12-P369- 93,C(TS),7,,,NA,135.926,,
7,a,07-THOL-1.8,NA,Tug Hollow Creek,,7,THOL,1.8,4140201,,,10 m above satterly hill rd. bridge.,42.426957,-76.84438,Hector,Schuyler,97,8,4.14E+12,NA,0705-0073,Ont  66-12-P369-  1 thru 58 (sel.),C,7,,,NA,287.2161,,
8,b,07-OWLI-3.0,2140,Owasco Lake Inlet,OWLI-07 (pre-2017),7,OWLI,3,4140201,7064105,7,20 m below sr 38.,42.71667,-76.43773,Moravia,Cayuga,11,7,NA,NA,0706-0002,ONT-66-12-43-P212-28,C(T),7,,,NA,219.3584,,
9,b,07-DUCH-0.3,NA,Dutch Hollow Brook,,7,DUCH,0.3,4140201,,,east lake rd.,42.864,-76.508,Owasco,Cayuga,11,7,4.14E+12,NA,0706-0003,Ont  66-12-43-P212- 3,C(TS),7,,,NA,219.055,,
10,b,07-DUCH-8.3,299,Dutch Hollow Brook,DUCH-02 (pre-2016),7,DUCH,8.3,4140201,,2,10 m above old state rd. bridge.,42.83167,-76.41277,Niles,Cayuga,11,7,NA,NA,0706-0003,ONT-66-12-43-P212-3,C(TS),7,,,NA,284.2611,,
11,b,07-OWAL_T46-0.1,NA,Unnamed TributaryTo Owasco Lake,,7,OWAL_T46,0.1,4140201,,,off fire lane near sr 38.,42.824,-76.521,Scipio,Cayuga,11,7,4.14E+12,NA,0706-0010,Ont  66-12-43-P212-,C,7,,,NA,220.7853,,
12,b,07-OWAL_T9-0.1,NA,Unnamed TributaryTo Owasco Lake,,7,OWAL_T9,0.1,4140201,,,off widewaters rd.,42.805,-76.491,Niles,Cayuga,11,7,4.14E+12,NA,0706-0010,Ont  66-12-43-P212-,C,7,,,NA,219.154,,
13,b,07-SCKR-0.1,NA,Sucker Brook,,7,SCKR,0.1,4140201,,,100 m upstream of sr 38a.,42.902,-76.527,Owasco,Cayuga,11,7,4.14E+12,NA,0706-0010,Ont  66-12-43-P212-,C,7,,,NA,219.238,,
14,b,07-VENE-1.5,NA,Veness Brook,,7,VENE,1.5,4140201,,,downstream of silver street rd. bridge.,42.880164,-76.56232,Fleming,Cayuga,11,7,4.14E+12,NA,0706-0010,Ont  66-12-43-P212-,C,7,,,NA,233.3438,,
15,c,07-GROU-1.5,1562,Grout Brook,GROU-01 (pre-2017),7,GROU,1.5,4140201,,1,co rte 101 at sweeney hill rd. bridge.,42.74194,-76.26528,Scott,Cortland,23,7,NA,NA,0706-0001,ONT-66-12-29-P193-55,AA(T),7,,,NA,298.665,,
16,c,07-SKAT_T2-0.1,NA,Unnamed Tributary To Skaneateles Lake,,7,SKAT_T2,0.1,4140201,,,east lake rd. at public fishing access.,42.924389,-76.40494,Skaneateles,Onondaga,67,7,4.14E+12,NA,0707-0005,Ont  66-12-29-P193-,AA,7,,,NA,266.9435,,
17,c,07-SKAT_T5-0.1,NA,Unnamed Tributary To Skaneateles Lake,,7,SKAT_T5,0.1,4140201,,,east lake rd. bridge.,42.904,-76.39399,Skaneateles,Onondaga,67,7,4.14E+12,NA,0707-0005,Ont  66-12-29-P193-,AA,7,,,NA,268.7449,,
18,c,07-SKAT_T89-0.2,NA,Unnamed Tributary To Skaneateles Lake,,7,SKAT_T89,0.2,4140201,,,west lake rd. bridge.,42.898,-76.419,Skaneateles,Onondaga,67,7,4.14E+12,NA,0707-0005,Ont  66-12-29-P193-,AA,7,,,NA,275.2493,,
19,c,07-BSWP-0.1,NA,Bear Swamp Creek,,7,BSWP,0.1,4140201,,,appletree fire lane.,42.82246,-76.32969,Niles,Cayuga,11,7,4.14E+12,NA,0707-0005,Ont  66-12-29-P193-,AA(T),7,,,NA,266.1584,,
