order,group,SH_SITE_ID,,,,,,,,,,,,,,,,,
1,Wallkill Main Stem,13-WALK-60.1,,,,,,,,,,,,,,,,,
3,Upper Wallkill Trib,13-RUTG-1.5,,,,,,,,,,,,,,,,,
2,Upper Wallkill Trib,13-POCH-1.8,,,,,,,,,,,,,,,,,
4,Upper Wallkill Trib,13-QKER-0.9,,,,,,,,,,,,,,,,,
6,Upper Wallkill Trib,13-WCHEE-0.6,,,,,,,,,,,,,,,,,
5,Upper Wallkill Trib,13-RIOG-0.7,,,,,,,,,,,,,,,,,
7,Wallkill Main Stem,13-WALK-46.6,,,,,,,,,,,,,,,,,
9,Upper Wallkill Trib,13-MONH-0.4,,,,,,,,,,,,,,,,,
8,Upper Wallkill Trib,13-MONH-4.1,,,,,,,,,,,,,,,,,
10,Upper Wallkill Trib,13-LGUN-6.0,,,,,,,,,,,,,,,,,
13,Upper Wallkill Trib,13-GUNK_T35-0.2,,,,,,,,,,,,,,,,,
12,Upper Wallkill Trib,13-GUNK-37.7,,,,,,,,,,,,,,,,,
11,Upper Wallkill Trib,13-GUNK-40.3,,,,,,,,,,,,,,,,,
14,Upper Wallkill Trib,13-MASO-0.2,,,,,,,,,,,,,,,,,
15,Wallkill Main Stem,13-WALK-44.4,,,,,,,,,,,,,,,,,
16,Wallkill Main Stem,13-WALK-35.6,,,,,,,,,,,,,,,,,
17,Wallkill Main Stem,13-WALK-29.9,,,,,,,,,,,,,,,,,
18,Middle Wallkill Trib,13-TINW-0.5,,,,,,,,,,,,,,,,,
19,Wallkill Main Stem,13-WALK-26.9,,,,,,,,,,,,,,,,,
20,Middle Wallkill Trib,13-DWAR-2.0,,,,,,,,,,,,,,,,,
21,Wallkill Main Stem,13-WALK-22.8,,,,,,,,,,,,,,,,,
22,Wallkill Main Stem,13-WALK-19.0,,,,,,,,,,,,,,,,,
23,Middle Wallkill Trib,13-GUNK-0.4,,,,,,,,,,,,,,,,,
24,Middle Wallkill Trib,13-PKIL-0.4,,,,,,,,,,,,,,,,,
25,Wallkill Main Stem,13-WALK-9.8,,,,,,,,,,,,,,,,,
26,Lower Wallkill Trib,13-WKLEI-0.6,,,,,,,,,,,,,,,,,
27,Wallkill Main Stem,13-WALK-2.1,,,,,,,,,,,,,,,,,
29,Lower Wallkill Trib,13-SWAK-1.7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
