"","seg_id","parameter","fraction","units","sample_id","value_hardness","value_ph","value_temperature","units_hardness","units_ph","units_temperature","interpreted_qualifiers","site_id","quantitation_limit","data_provider","date","validator_qualifiers","depth","info_type","value","class","spatial_extent","water_type","class_type","trout_class","sampling_period","sampling_period_units","type","use","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"1","0201-0065","alkalinity, total (as caco3)","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",2,"AE",2021-07-01,"A",NA,NA,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0201-0065","alkalinity, total (as caco3)","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",2,"AE",2021-07-01,"A",NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0201-0065","aluminum","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",10,"AE",2021-07-01,"A",NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0201-0065","aluminum","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",50,"AE",2021-07-01,"A",NA,NA,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0201-0065","ammonia","total","ug/l","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.01,"AE",2021-07-01,"A",NA,NA,72,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"6","0201-0065","ammonia","total","ug/l","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.01,"AE",2021-07-01,"A",NA,NA,26,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"7","0201-0065","arsenic","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",1,"AE",2021-07-01,"A",NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0201-0065","arsenic","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1,"AE",2021-07-01,"A",NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0201-0065","cadmium","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.3",1,"AE",2021-07-01,"U",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","0201-0065","cadmium","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.1",1,"AE",2021-07-01,"U",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
