"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"1","total","mg/l","0201-0065","","02-DODG-0.3",2,"AE","02-DODG-0.3_20210701",2021-07-01,36.3,"A",NA,NA,"alkalinity, total (as caco3)"
"2","total","mg/l","0201-0065","","02-DODG-0.1",2,"AE","02-DODG-0.1_20210701",2021-07-01,36,"A",NA,NA,"alkalinity, total (as caco3)"
"3","total","ug/l","0201-0065","","02-DODG-0.3",10,"AE","02-DODG-0.3_20210701",2021-07-01,278,"A",NA,NA,"aluminum"
"4","total","ug/l","0201-0065","","02-DODG-0.1",50,"AE","02-DODG-0.1_20210701",2021-07-01,463,"A",NA,NA,"aluminum"
"5","total","ug/l","0201-0065","","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,1.4,"A",NA,NA,"arsenic"
"6","total","ug/l","0201-0065","","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,1.6,"A",NA,NA,"arsenic"
"7","total","ug/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,0.19,"U",NA,NA,"cadmium"
"8","total","ug/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,0.19,"U",NA,NA,"cadmium"
"9","total","ug/l","0201-0065","","02-DODG-0.3",1000,"AE","02-DODG-0.3_20210701",2021-07-01,11400,"A",NA,NA,"calcium"
"10","total","ug/l","0201-0065","","02-DODG-0.1",1000,"AE","02-DODG-0.1_20210701",2021-07-01,11200,"A",NA,NA,"calcium"
"11","total","mg/l","0201-0065","","02-DODG-0.3",2,"AE","02-DODG-0.3_20210701",2021-07-01,16.3,"A",NA,NA,"chloride"
"12","total","mg/l","0201-0065","","02-DODG-0.1",2,"AE","02-DODG-0.1_20210701",2021-07-01,15.4,"A",NA,NA,"chloride"
"13","total","ug/l","0201-0065","","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,1.3,"A",NA,NA,"copper"
"14","total","ug/l","0201-0065","","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,2.2,"A",NA,NA,"copper"
"15","dissolved","mg/l","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,8.4,"N/A",NA,NA,"dissolved_oxygen"
"16","dissolved","mg/l","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,9.03,"N/A",NA,NA,"dissolved_oxygen"
"17","","percent","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,94.4,"N/A",NA,NA,"dissolved oxygen saturation"
"18","","percent","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,101.6,"N/A",NA,NA,"dissolved oxygen saturation"
"19","total","mg/l","0201-0065","","02-DODG-0.3",6.62,"AE","02-DODG-0.3_20210701",2021-07-01,41.1,"A",NA,NA,"hardness"
"20","total","mg/l","0201-0065","","02-DODG-0.1",6.62,"AE","02-DODG-0.1_20210701",2021-07-01,39.6,"A",NA,NA,"hardness"
"21","total","ug/l","0201-0065","","02-DODG-0.1",100,"AE","02-DODG-0.1_20210701",2021-07-01,1230,"A",NA,NA,"iron"
"22","total","ug/l","0201-0065","","02-DODG-0.3",100,"AE","02-DODG-0.3_20210701",2021-07-01,782,"A",NA,NA,"iron"
"23","total","ug/l","0201-0065","estimated value due to lab error","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,0.51,"J",NA,NA,"lead"
"24","total","ug/l","0201-0065","","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,1.1,"A",NA,NA,"lead"
"25","total","ug/l","0201-0065","","02-DODG-0.1",1000,"AE","02-DODG-0.1_20210701",2021-07-01,2800,"0",NA,NA,"magnesium"
"26","total","ug/l","0201-0065","","02-DODG-0.3",1000,"AE","02-DODG-0.3_20210701",2021-07-01,3070,"0",NA,NA,"magnesium"
"27","total","ug/l","0201-0065","estimated value due to lab error","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,0.83,"J",NA,NA,"nickel"
"28","total","ug/l","0201-0065","","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,1.2,"A",NA,NA,"nickel"
"29","total","mg/l","0201-0065","","02-DODG-0.1",0.01,"AE","02-DODG-0.1_20210701",2021-07-01,0.072,"A",NA,NA,"ammonia"
"30","total","mg/l","0201-0065","","02-DODG-0.3",0.01,"AE","02-DODG-0.3_20210701",2021-07-01,0.026,"A",NA,NA,"ammonia"
"31","total","mg/l","0201-0065","","02-DODG-0.3",0.1,"AE","02-DODG-0.3_20210701",2021-07-01,0.36,"A",NA,NA,"nitrogen, kjeldahl, total"
"32","total","mg/l","0201-0065","","02-DODG-0.1",0.1,"AE","02-DODG-0.1_20210701",2021-07-01,0.57,"A",NA,NA,"nitrogen, kjeldahl, total"
"33","total","mg/l","0201-0065","","02-DODG-0.3",0.002,"AE","02-DODG-0.3_20210701",2021-07-01,0.11,"A",NA,NA,"nitrate_nitrite"
"34","total","mg/l","0201-0065","","02-DODG-0.1",0.002,"AE","02-DODG-0.1_20210701",2021-07-01,0.183,"A",NA,NA,"nitrate_nitrite"
"35","total","mg/l","0201-0065","","02-DODG-0.3",0.01,"AE","02-DODG-0.3_20210701",2021-07-01,0.11,"A",NA,NA,"nitrate"
"36","total","mg/l","0201-0065","","02-DODG-0.1",0.01,"AE","02-DODG-0.1_20210701",2021-07-01,0.183,"A",NA,NA,"nitrate"
"37","total","mg/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.3",0.01,"AE","02-DODG-0.3_20210701",2021-07-01,0.0035,"U",NA,NA,"nitrite"
"38","total","mg/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.1",0.01,"AE","02-DODG-0.1_20210701",2021-07-01,0.0035,"U",NA,NA,"nitrite"
"39","total","mg/l","0201-0065","","02-DODG-0.1",0.1,"AE","02-DODG-0.1_20210701",2021-07-01,0.75,"A",NA,NA,"nitrogen, total"
