"","assessment_id","seg_id","site_id","water_type","type","use","standard_type","group","block","statistic","parameter","fraction","units","result","date","year","within_period","direction","threshold","summarize_rows","summarize_rows_operator","wqs_75p_threshold","data_provider","attaining_wqs","attaining_75"
"TRUE.1",2,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","2:mean:18809:TRUE","date","mean","dissolved_oxygen","dissolved","mg/l",8.715,2021-07-01,"2021",TRUE,">=",5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.2",2,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","2:mean:18809:TRUE","date","mean","dissolved_oxygen","dissolved","mg/l",8.715,2021-07-01,"2021",TRUE,">=",5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.3",2,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","2:mean:18809:TRUE","date","mean","dissolved_oxygen","dissolved","mg/l",8.715,2021-07-01,"2021",TRUE,">=",5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.4",2,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","2:mean:18809:TRUE","date","mean","dissolved_oxygen","dissolved","mg/l",8.715,2021-07-01,"2021",TRUE,">=",5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.5",2,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","2:min:TRUE","all","min","dissolved_oxygen","dissolved","mg/l",8.4,2021-07-01,"2021",TRUE,">=",4,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.6",2,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","2:min:TRUE","all","min","dissolved_oxygen","dissolved","mg/l",8.4,2021-07-01,"2021",TRUE,">=",4,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.7",2,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","2:min:TRUE","all","min","dissolved_oxygen","dissolved","mg/l",8.4,2021-07-01,"2021",TRUE,">=",4,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.8",2,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","2:min:TRUE","all","min","dissolved_oxygen","dissolved","mg/l",8.4,2021-07-01,"2021",TRUE,">=",4,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.9",3,"0201-0065","02-DODG-0.1","flow","aquatic_chronic","fishing","water_quality_standard","none.11","single","none","nitrite","total","ug/l",3.5,2021-07-01,"2021",TRUE,"<=",100,FALSE,NA,NA,"AE",TRUE,NA
"TRUE.10",3,"0201-0065","02-DODG-0.3","flow","aquatic_chronic","fishing","water_quality_standard","none.12","single","none","nitrite","total","ug/l",3.5,2021-07-01,"2021",TRUE,"<=",100,FALSE,NA,NA,"AE",TRUE,NA
"TRUE.11",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.13","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.12",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.14","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.13",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.15","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.14",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.16","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.15",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.17","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.16",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.18","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.17",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.19","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.18",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.20","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.19",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.21","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.20",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.22","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.21",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.23","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.22",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.24","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.23",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.25","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.24",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.26","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.25",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.27","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
