"","CHR_PCODE","CHR_SYS_SAMPLE_CDE","CHR_SAMPLE_DEL_GRP","CHR_SAMPLE_DEL_GRP_EQUIS","CHR_LAB_ANAL_METHOD_NAME","CHR_ANALYSIS_DATE","CHR_TEST_TYPE","CHR_LAB_MATRIX_CDE","CHR_DILUTION_FACTOR","CHR_PREP_METHOD","CHR_PREP_DATE","CHR_LAB_NAME_CDE","CHR_QC_LEVEL","CHR_LAB_SAMPLE_ID","CHR_SUBSAMPLE_AMT","CHR_SUBSAMPLE_AMT_UNIT","CHR_FINAL_VOLUME","CHR_FINAL_VOLUME_UNIT","CHR_CAS_RN","CHR_RESULT_VALUE","CHR_RESULT_TYPE_CDE","CHR_REPORTABLE_RESULT","CHR_DETECT_FLAG","CHR_QLFR_SRC","CHR_LAB_QUAL","CHR_VALIDATED_YN","CHR_VALIDATION_DATE","CHR_VALIDATOR_QUAL","CHR_VALIDATOR_QUAL_EXPLN","CHR_METHOD_DETECT_LIMIT","CHR_REPORTING_DETECT_LIMIT","CHR_QUANTITATION_LIMIT","CHR_DETECTION_LIMIT_UNIT","CHR_LAB_VALIDATION_LEVEL","CHR_RESULT_COMMENT","CHR_QC_ORIG_CONC","CHR_QC_SPIKE_ADDED","CHR_QC_SPIKE_MEASURED","CHR_QC_SPIKE_RECOVERY","CHR_QC_DUP_ORIG_CONC","CHR_QC_DUP_SPIKE_ADDED","CHR_QC_DUP_SPIKE_MEASURED","CHR_QC_DUP_SPIKE_RECOVERY","CHR_QC_RPD","CHR_QC_SPIKE_LCL","CHR_QC_SPIKE_UCL","CHR_QC_RPD_CL","CHR_QC_SPIKE_STATUS","CHR_QC_DUP_SPIKE_STATUS","CHR_QC_RPD_STATUS","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP_EQUIS","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHEM_PARAMETER_PCODE","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_SOURCE","CHEM_PARAMETER_NOTES"
"1021",6,"14-LEBA-0.6-08202019-W","R1907960","","SM 2320 B","08/30/2019 18:20:00","initial","WS",1,"","","ALSRNY","quant","R1907960-006",0,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-LEBA-0.6","08/20/2019","N","ALSRNY","14-LEBA-0.6-08202019-W","WS","N","N","Field","","","08/20/2019 14:45:00","08/21/2019","14-LEBA-0.6","","081919CO3W","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"1608",6,"14-UNVR-0.2-08212019-W","R1907964","","SM 2320 B","08/30/2019 22:38:00","initial","WS",1,"","","ALSRNY","quant","R1907964-013",0,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-UNVR_E-0.2","08/21/2019","Y","ALSRNY","14-UNVR-0.2-08212019-W","WS","N","N","Field","","","08/21/2019 09:45:00","08/22/2019","14-UNVR-0.2","","081919CO2W","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"1635",6,"14-UNVR-12.5-08212019-W","R1907964","","SM 2320 B","08/30/2019 23:00:00","initial","WS",1,"","","ALSRNY","quant","R1907964-017",0,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-UNVR_W-12.5","08/21/2019","Y","ALSRNY","14-UNVR-12.5-08212019-W","WS","N","N","Field","","","08/21/2019 09:00:00","08/22/2019","14-UNVR-12.5","","081919CO2W","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"1682",6,"13-WALK-18.6-08142019-WS","R1907627","","SM 2320 B","08/28/2019 12:57:00","initial","WS",1,"","","ALSRNY","quant","R1907627-011",0,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-WALK-18.6","08/14/2019","N","ALSRNY","13-WALK-18.6-08142019-WS","WS","N","N","Field","","","08/14/2019 00:00:00","08/15/2019","13-WALK-18.6","","081219R3W","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"6759",6,"09-GTCH_W-49.1-09102019-W","R1908759","","SM 2320 B","09/19/2019 16:50:00","initial","WS",1,"","","ALSRNY","quant","R1908759-002",100,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GTCH_W-49.1","09/10/2019","N","ALSRNY","09-GTCH_W-49.1-09102019-W","WS","N","N","Field","","","09/10/2019 12:30:00","09/11/2019","09-GTCH_W-49.1","","090919C01W","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"7391",6,"07-SUKE-0.3-08122019-W","R1907624","","SM 2320 B","08/17/2019 21:15:00","initial","WS",1,"","","ALSRNY","quant","R1907624-015",0,"mL",NA,"","ALK",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",1.8,1.8,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",6,"ALKALINITY, TOTAL (AS CACO3)","mg/L","mg/L","TOTAL","LAB",""
"12524",7,"07-ONON-1.0-06112018-WS","R1805374","","E200.8","06/25/2018 13:27:00","initial","WS",1,"E200.0","06/21/2018 00:00:00","ALSRNY","quant","R1805374-002",10,"mL",10,"mL","7429-90-5",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",2.3,2.3,10,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-ONON-1.0","06/11/2018","N","ALSRNY","07-ONON-1.0-06112018-WS","WS","N","N","Field","","","06/11/2018 14:00:00","06/12/2018","Unknown","","","NYSDEC","",7,"ALUMINUM","µg/L","ug/L","DISSOLVED","LAB",""
"12559",7,"17-CARM-9.0-06132018-WS","R1805573","","E200.8","06/25/2018 14:04:00","initial","WS",1,"E200.0","06/21/2018 00:00:00","ALSRNY","quant","R1805573-004",10,"mL",10,"mL","7429-90-5",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",2.3,2.3,10,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","17-CARM-9.0","06/13/2018","N","ALSRNY","17-CARM-9.0-06132018-WS","WS","N","N","Field","","","06/13/2018 14:00:00","06/14/2018","Unknown","","","NYSDEC","",7,"ALUMINUM","µg/L","ug/L","DISSOLVED","LAB",""
"14267",8,"07-SUKE-0.3-08122019-W","R1907624","","E200.8","08/27/2019 10:32:00","initial","WS",1,"E200.0","08/19/2019 00:00:00","ALSRNY","quant","R1907624-015",10,"mL",10,"mL","7429-90-5",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",2.3,2.3,10,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",8,"ALUMINUM","µg/L","ug/L","TOTAL","LAB",""
"21001",12,"04-TBRU-0.1-07242019-W","R1906885","","E200.8","08/02/2019 13:36:00","initial","WS",1,"E200.0","07/30/2019 00:00:00","ALSRNY","quant","R1906885-011",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-TBRU-0.1","07/24/2019","N","ALSRNY","04-TBRU-0.1-07242019-W","WS","N","N","Field","","","07/24/2019 13:20:00","07/25/2019","04-TBRU-0.1","","072219CO2W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
