"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"1","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20190625",2019-06-25,70.8,"A",NA,NA,"alkalinity, total (as caco3)"
"2","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20180724",2018-07-24,45.6,"A",NA,NA,"alkalinity, total (as caco3)"
"3","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20181003",2018-10-03,61.2,"A",NA,NA,"alkalinity, total (as caco3)"
"4","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20170801",2017-08-01,152,"0",NA,NA,"alkalinity, total (as caco3)"
"5","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20190625",2019-06-25,84.4,"A",NA,NA,"alkalinity, total (as caco3)"
"6","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20170720",2017-07-20,87.6,"0",NA,NA,"alkalinity, total (as caco3)"
"7","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20190723",2019-07-23,78.8,"A",NA,NA,"alkalinity, total (as caco3)"
"8","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20170920",2017-09-20,139,"0",NA,NA,"alkalinity, total (as caco3)"
"9","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20170906",2017-09-06,142,"0",NA,NA,"alkalinity, total (as caco3)"
"10","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20190814",2019-08-14,71.6,"A",NA,NA,"alkalinity, total (as caco3)"
"11","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20180711",2018-07-11,152,"A",NA,NA,"alkalinity, total (as caco3)"
"12","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20190815",2019-08-15,144,"A",NA,NA,"alkalinity, total (as caco3)"
"13","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20180711",2018-07-11,96,"A",NA,NA,"alkalinity, total (as caco3)"
"14","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20170719",2017-07-19,138,"0",NA,NA,"alkalinity, total (as caco3)"
"15","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20170802",2017-08-02,70,"0",NA,NA,"alkalinity, total (as caco3)"
"16","total","mg/l","1306-0027","","13-WALK-2.1",2,"AE","13-WALK-2.1_20181003",2018-10-03,78.8,"A",NA,NA,"alkalinity, total (as caco3)"
"17","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20170719",2017-07-19,98.4,"0",NA,NA,"alkalinity, total (as caco3)"
"18","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20171012",2017-10-12,142,"0",NA,NA,"alkalinity, total (as caco3)"
"19","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20180814",2018-08-14,52.8,"A",NA,NA,"alkalinity, total (as caco3)"
"20","total","mg/l","1306-0074","","13-MONH-4.1",2,"AE","13-MONH-4.1_20180711",2018-07-11,150,"A",NA,NA,"alkalinity, total (as caco3)"
"21","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20181003",2018-10-03,54.4,"A",NA,NA,"alkalinity, total (as caco3)"
"22","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20180905",2018-09-05,150,"A",NA,NA,"alkalinity, total (as caco3)"
"23","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20190918",2019-09-18,177,"A",NA,NA,"alkalinity, total (as caco3)"
"24","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20170906",2017-09-06,118,"0",NA,NA,"alkalinity, total (as caco3)"
"25","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20181002",2018-10-02,43.6,"A",NA,NA,"alkalinity, total (as caco3)"
"26","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20180710",2018-07-10,108,"A",NA,NA,"alkalinity, total (as caco3)"
"27","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20190724",2019-07-24,108,"A",NA,NA,"alkalinity, total (as caco3)"
"28","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20191016",2019-10-16,184,"A",NA,NA,"alkalinity, total (as caco3)"
"29","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20170907",2017-09-07,70.4,"0",NA,NA,"alkalinity, total (as caco3)"
"30","total","mg/l","1306-0048","","13-GUNK-40.3",2,"AE","13-GUNK-40.3_20180711",2018-07-11,64.4,"A",NA,NA,"alkalinity, total (as caco3)"
"31","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20190814",2019-08-14,116,"A",NA,NA,"alkalinity, total (as caco3)"
"32","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20180724",2018-07-24,46.4,"A",NA,NA,"alkalinity, total (as caco3)"
"33","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20180724",2018-07-24,129,"A",NA,NA,"alkalinity, total (as caco3)"
"34","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20180905",2018-09-05,89.6,"A",NA,NA,"alkalinity, total (as caco3)"
"35","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20180815",2018-08-15,44,"A",NA,NA,"alkalinity, total (as caco3)"
"36","total","mg/l","1306-0047","","13-GUNK-37.7",2,"AE","13-GUNK-37.7_20181003",2018-10-03,35.6,"A",NA,NA,"alkalinity, total (as caco3)"
"37","total","mg/l","1306-0047","","13-GUNK-37.7",2,"AE","13-GUNK-37.7_20180905",2018-09-05,60,"A",NA,NA,"alkalinity, total (as caco3)"
"38","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20190626",2019-06-26,85.6,"A",NA,NA,"alkalinity, total (as caco3)"
"39","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20181003",2018-10-03,46.8,"A",NA,NA,"alkalinity, total (as caco3)"
"40","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20170907",2017-09-07,83.2,"0",NA,NA,"alkalinity, total (as caco3)"
"41","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20181004",2018-10-04,87.6,"A",NA,NA,"alkalinity, total (as caco3)"
"42","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20170801",2017-08-01,161,"0",NA,NA,"alkalinity, total (as caco3)"
"43","total","mg/l","1306-0038","","13-WALK-29.9",2,"AE","13-WALK-29.9_20170802",2017-08-02,136,"0",NA,NA,"alkalinity, total (as caco3)"
"44","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20180710",2018-07-10,120,"A",NA,NA,"alkalinity, total (as caco3)"
"45","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20180815",2018-08-15,90,"A",NA,NA,"alkalinity, total (as caco3)"
"46","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20180906",2018-09-06,127,"A",NA,NA,"alkalinity, total (as caco3)"
"47","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20190815",2019-08-15,97.6,"A",NA,NA,"alkalinity, total (as caco3)"
"48","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20171011",2017-10-11,126,"0",NA,NA,"alkalinity, total (as caco3)"
"49","total","mg/l","1306-0037","","13-WALK-0.7",2,"AE","13-WALK-0.7_20180710",2018-07-10,109,"A",NA,NA,"alkalinity, total (as caco3)"
"50","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20180906",2018-09-06,70.8,"A",NA,NA,"alkalinity, total (as caco3)"
"51","total","mg/l","1306-0006","","13-RUTG-1.5",2,"AE","13-RUTG-1.5_20190918",2019-09-18,121,"A",NA,NA,"alkalinity, total (as caco3)"
"52","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20170907",2017-09-07,128,"0",NA,NA,"alkalinity, total (as caco3)"
"53","total","mg/l","1306-0074","","13-MONH-4.1",2,"AE","13-MONH-4.1_20181003",2018-10-03,84,"A",NA,NA,"alkalinity, total (as caco3)"
"54","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20171012",2017-10-12,74.8,"0",NA,NA,"alkalinity, total (as caco3)"
"55","total","mg/l","1306-0045","","13-GUNK-0.4",2,"AE","13-GUNK-0.4_20170720",2017-07-20,64,"0",NA,NA,"alkalinity, total (as caco3)"
"56","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20190626",2019-06-26,90.4,"A",NA,NA,"alkalinity, total (as caco3)"
"57","total","mg/l","1306-0027","","13-WALK-2.1",2,"AE","13-WALK-2.1_20180710",2018-07-10,114,"A",NA,NA,"alkalinity, total (as caco3)"
"58","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20180724",2018-07-24,75.6,"A",NA,NA,"alkalinity, total (as caco3)"
"59","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20180710",2018-07-10,159,"A",NA,NA,"alkalinity, total (as caco3)"
"60","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20170907",2017-09-07,115,"0",NA,NA,"alkalinity, total (as caco3)"
"61","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20180906",2018-09-06,143,"A",NA,NA,"alkalinity, total (as caco3)"
"62","total","mg/l","1306-0074","","13-MONH-4.1",2,"AE","13-MONH-4.1_20180816",2018-08-16,120,"A",NA,NA,"alkalinity, total (as caco3)"
"63","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20180816",2018-08-16,81.6,"A",NA,NA,"alkalinity, total (as caco3)"
"64","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20180724",2018-07-24,78,"A",NA,NA,"alkalinity, total (as caco3)"
