"","parameter","fraction","units","class","class_type","trout_class","spatial_extent","sampling_period","sampling_period_units","type","use","water_type","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"1","ammonia","total","ug/l","a","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"2","ammonia","total","ug/l","a(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"3","ammonia","total","ug/l","a(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"4","ammonia","total","ug/l","a","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"5","ammonia","total","ug/l","a(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"6","ammonia","total","ug/l","a(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"7","ammonia","total","ug/l","a-special","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"8","ammonia","total","ug/l","a-special(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"9","ammonia","total","ug/l","a-special(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"10","ammonia","total","ug/l","a-special","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"11","ammonia","total","ug/l","a-special(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"12","ammonia","total","ug/l","a-special(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"13","ammonia","total","ug/l","aa","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"14","ammonia","total","ug/l","aa(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"15","ammonia","total","ug/l","aa(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"16","ammonia","total","ug/l","aa","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"17","ammonia","total","ug/l","aa(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"18","ammonia","total","ug/l","aa(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"19","ammonia","total","ug/l","aa-special","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"20","ammonia","total","ug/l","aa-special(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"21","ammonia","total","ug/l","aa-special(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"22","ammonia","total","ug/l","aa-special","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"23","ammonia","total","ug/l","aa-special(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
